id;nodeI;nodeJ;distance;danger;amenagement
85;42;82;0.7729;1.5458;0
86;43;42;0.7447;1.4894;0
87;43;4;1.339;2.678;0
88;43;44;1.0306;2.0612;0
89;43;82;1.1071;2.2142;0
90;44;45;1.3244;2.6488;0
91;44;84;0.8604;1.7208;0
92;44;85;1.8566;3.7132;0
93;45;44;1.3244;2.6488;0
94;45;46;0.9714;1.9428;0
95;45;84;1.3746;2.7492;0
96;46;45;0.9714;1.9428;0
97;46;6;0.6217;1.2434;0
98;46;5;0.99;1.98;0
99;47;6;1.212;2.424;0
100;47;8;1.3261;2.6522;0
101;47;87;0.8554;1.7108;0
102;48;47;1.2004;2.4008;0
103;48;8;0.68;1.36;0
104;48;9;0.9347;1.8694;0
105;48;87;1.4714;2.9428;0
106;49;9;0.5086;1.0172;0
107;49;88;1.4805;2.961;0
108;50;49;1.329;2.658;0
109;50;10;0.9357;1.8714;0
110;50;89;1.43;2.86;0
111;50;91;1.8588;3.7176;0
112;52;13;1.5893;3.1786;0
113;52;91;1.1771;2.3542;0
114;53;12;0.975;1.95;0
115;53;92;1.567;1.567;1
116;53;94;1.4364;1.4364;1
117;54;13;1.2505;2.501;0
118;54;15;1.1829;2.3658;0
119;54;55;1.0277;2.0554;0
120;55;15;1.0507;2.1014;0
121;55;16;1.3063;2.6126;0
122;55;56;0.4846;0.9692;0
123;55;94;1.4827;1.4827;1
124;55;96;1.2333;1.2333;1
125;56;15;1.2461;2.4922;0
126;56;17;1.5879;3.1758;0
127;56;57;1.4252;2.8504;0
128;56;95;1.1279;2.2558;0
129;56;96;0.9994;1.9988;0
130;57;17;1.1618;2.3236;0
131;57;16;1.7082;3.4164;0
132;57;18;1.117;2.234;0
133;57;58;0.7536;1.5072;0
134;57;96;1.6463;3.2926;0
135;57;97;1.349;2.698;0
136;58;18;1.1187;2.2374;0
137;58;19;1.4605;2.921;0
138;58;59;1.1154;1.1154;1
139;58;98;1.2316;2.4632;0
140;58;99;1.5026;3.0052;0
141;59;58;1.1154;1.1154;1
142;59;19;0.7705;1.541;0
143;59;18;1.7315;3.463;0
144;59;20;1.3822;1.3822;1
145;59;98;1.6072;3.2144;0
146;59;100;1.5603;3.1206;0
147;60;59;0.8583;1.7166;0
148;60;99;1.0186;2.0372;0
149;60;100;0.9681;1.9362;0
150;60;101;1.1695;2.339;0
151;61;100;1.3906;2.7812;0
152;61;101;0.9815;1.963;0
153;61;102;1.5944;3.1888;0
154;62;61;1.3759;2.7518;0
155;62;22;0.7596;0.7596;1
156;62;21;1.2989;1.2989;1
157;62;101;1.7571;1.7571;1
158;62;103;1.3159;2.6318;0
159;64;23;1.3753;2.7506;0
160;64;105;1.1169;2.2338;0
161;65;104;1.7319;3.4638;0
162;65;105;1.0308;2.0616;0
163;66;65;1.1108;2.2216;0
164;66;27;1.3049;2.6098;0
165;66;107;1.3659;2.7318;0
166;67;66;1.0509;2.1018;0
167;67;27;1.0604;2.1208;0
168;67;28;1.3819;2.7638;0
169;68;67;0.5683;1.1366;0
170;68;28;1.1321;2.2642;0
171;68;27;1.0882;1.0882;1
172;68;69;1.3547;2.7094;0
173;68;107;1.6656;3.3312;0
174;68;109;1.6852;1.6852;1
175;68;29;1.3001;2.6002;0
176;69;68;1.3547;2.7094;0
177;69;110;1.6339;3.2678;0
178;70;69;0.8044;1.6088;0
179;70;110;1.1314;2.2628;0
180;71;30;1.3041;2.6082;0
181;71;72;1.3948;2.7896;0
182;71;110;1.4798;1.4798;1
183;72;71;1.3948;2.7896;0
184;72;33;1.0649;2.1298;0
185;72;73;0.8746;1.7492;0
186;72;113;1.619;3.238;0
187;73;32;1.5829;3.1658;0
188;74;73;0.9795;1.959;0
189;74;75;1.0694;2.1388;0
190;75;74;1.0694;2.1388;0
191;75;34;1.9299;3.8598;0
192;76;75;0.7733;1.5466;0
193;76;36;1.1261;2.2522;0
194;76;35;1.3031;2.6062;0
195;76;115;1.2548;2.5096;0
196;77;76;1.4682;2.9364;0
197;77;37;1.0119;1.0119;1
198;77;36;1.1101;2.2202;0
199;77;78;1.0224;2.0448;0
200;78;77;1.0224;2.0448;0
201;78;37;1.3872;1.3872;1
202;78;118;1.0031;1.0031;1
203;78;39;1.3001;2.6002;0
204;79;78;0.8837;1.7674;0
205;79;118;1.1242;2.2484;0
206;79;119;0.8173;1.6346;0
207;80;40;1.013;2.026;0
208;80;41;1.1889;2.3778;0
209;80;120;0.843;1.686;0
210;81;80;1.3046;2.6092;0
211;81;41;1.4039;2.8078;0
212;81;42;1.5307;3.0614;0
213;81;82;0.9651;1.9302;0
214;82;42;0.7729;1.5458;0
215;82;83;0.9963;1.9926;0
216;82;123;1.7506;3.5012;0
217;83;42;1.544;3.088;0
218;83;124;1.4051;2.8102;0
219;84;45;1.3746;2.7492;0
220;84;85;1.2509;2.5018;0
221;84;123;1.48;2.96;0
222;85;84;1.2509;2.5018;0
223;85;44;1.8566;3.7132;0
224;85;86;0.8261;0.8261;1
225;85;124;1.8147;3.6294;0
226;85;125;1.0889;2.1778;0
227;86;85;0.8261;1.6522;0
228;86;47;1.3653;2.7306;0
229;86;126;1.4599;2.9198;0
230;86;127;1.6188;1.6188;1
231;87;48;1.4714;2.9428;0
232;87;126;2.0091;4.0182;0
233;88;48;1.2454;2.4908;0
234;88;47;1.4956;2.9912;0
235;88;49;1.4805;2.961;0
236;89;88;1.1207;2.2414;0
237;89;49;1.1684;2.3368;0
238;89;50;1.43;2.86;0
239;91;50;1.8588;3.7176;0
240;91;52;1.1771;2.3542;0
241;91;92;0.7544;0.7544;1
242;91;131;0.8294;1.6588;0
243;92;91;0.7544;0.7544;1
244;92;53;1.567;1.567;1
245;92;131;1.435;2.87;0
246;92;133;1.2699;2.5398;0
247;94;54;0.9228;1.8456;0
248;94;53;1.4364;1.4364;1
249;94;55;1.4827;1.4827;1
250;94;95;1.086;2.172;0
251;94;133;1.5278;3.0556;0
252;95;94;1.086;2.172;0
253;95;55;0.9099;1.8198;0
254;95;54;1.3089;2.6178;0
255;95;56;1.1279;2.2558;0
256;95;96;0.9996;1.9992;0
257;95;134;1.4271;2.8542;0
258;95;136;1.5681;3.1362;0
259;96;97;0.9611;1.9222;0
260;96;136;1.2339;1.2339;1
261;97;96;0.9611;1.9222;0
262;97;57;1.349;2.698;0
263;97;56;1.6477;3.2954;0
264;97;58;1.5133;3.0266;0
265;97;137;0.7794;1.5588;0
266;98;59;1.6072;3.2144;0
267;98;137;1.2009;2.4018;0
268;99;58;1.3001;2.6002;0
269;100;61;1.3906;2.7812;0
270;100;140;0.9325;1.865;0
271;100;141;1.1937;2.3874;0
272;101;100;0.697;1.394;0
273;101;60;1.1695;2.339;0
274;101;62;1.7571;1.7571;1
275;101;140;1.3425;1.3425;1
276;101;141;1.2526;1.2526;1
277;101;142;1.5351;1.5351;1
278;102;101;1.4434;2.8868;0
279;102;62;0.8435;1.687;0
280;103;64;1.5867;3.1734;0
281;103;142;1.4339;2.8678;0
282;103;144;1.4361;1.4361;1
283;104;144;0.5466;1.0932;0
284;105;104;0.7082;1.4164;0
285;105;144;1.2307;2.4614;0
286;106;105;1.0928;2.1856;0
287;106;65;1.3203;2.6406;0
288;106;147;1.6401;3.2802;0
289;107;106;0.9883;1.9766;0
290;107;108;1.601;1.601;1
291;107;147;0.9107;1.8214;0
292;108;107;1.601;1.601;1
293;108;68;0.8681;0.8681;1
294;108;147;1.8773;3.7546;0
295;109;108;0.9339;1.8678;0
296;109;69;1.1621;2.3242;0
297;109;68;1.6852;1.6852;1
298;109;148;1.7762;3.5524;0
299;110;109;1.1517;1.1517;1
300;110;69;1.6339;3.2678;0
301;110;149;1.4749;1.4749;1
302;110;150;0.8614;1.7228;0
303;110;151;1.0565;1.0565;1
304;112;72;1.2908;2.5816;0
305;112;71;1.8007;3.6014;0
306;112;73;1.3694;2.7388;0
307;112;153;1.6375;3.275;0
308;113;112;1.0521;2.1042;0
309;113;72;1.619;3.238;0
310;113;114;0.6694;1.3388;0
311;114;73;1.1563;2.3126;0
312;114;75;1.2702;2.5404;0
313;114;153;1.5864;3.1728;0
314;114;155;1.5826;3.1652;0
315;115;114;0.974;1.948;0
316;115;74;1.5501;3.1002;0
317;115;76;1.2548;2.5096;0
318;115;155;0.7489;1.4978;0
319;116;77;1.6767;3.3534;0
320;117;77;1.212;2.424;0
321;117;78;1.7654;3.5308;0
322;117;118;1.4521;2.9042;0
323;117;157;0.8039;1.6078;0
324;117;158;1.3656;2.7312;0
325;118;117;1.4521;2.9042;0
326;118;78;1.0031;1.0031;1
327;118;77;1.5182;3.0364;0
328;118;119;0.8587;1.7174;0
329;118;157;1.6144;3.2288;0
330;118;158;1.1258;1.1258;1
331;119;79;0.8173;1.6346;0
332;119;159;1.2689;2.5378;0
333;120;81;1.2491;2.4982;0
334;120;160;1.1226;2.2452;0
335;123;82;1.7506;3.5012;0
336;123;84;1.48;2.96;0
337;123;164;1.0784;2.1568;0
338;124;123;0.6861;1.3722;0
339;124;84;1.4337;2.8674;0
340;124;85;1.8147;1.8147;1
341;124;125;1.3415;2.683;0
342;124;165;1.5199;3.0398;0
343;125;86;1.5262;3.0524;0
344;125;126;0.6108;1.2216;0
345;125;166;1.1208;2.2416;0
346;126;125;0.6108;1.2216;0
347;126;85;1.3691;2.7382;0
348;126;87;2.0091;4.0182;0
349;126;165;1.3405;2.681;0
350;127;86;1.6188;3.2376;0
351;127;168;1.3107;2.6214;0
352;129;88;1.3498;2.6996;0
353;129;169;0.9484;1.8968;0
354;130;89;1.7328;3.4656;0
355;130;91;1.3587;2.7174;0
356;130;169;1.3226;2.6452;0
357;130;171;1.4556;2.9112;0
358;131;130;0.7516;1.5032;0
359;131;170;1.2099;2.4198;0
360;131;171;1.2426;2.4852;0
361;132;92;1.0533;2.1066;0
362;132;91;1.1752;2.3504;0
363;132;133;0.7969;0.7969;1
364;132;171;1.5621;3.1242;0
365;132;172;1.222;2.444;0
366;132;173;1.3641;2.7282;0
367;133;94;1.5278;3.0556;0
368;133;172;1.5838;3.1676;0
369;133;173;1.4502;2.9004;0
370;133;174;1.6153;1.6153;1
371;134;133;1.0479;2.0958;0
372;134;94;1.1418;2.2836;0
373;134;95;1.4271;2.8542;0
374;134;135;1.3243;2.6486;0
375;134;173;1.8896;3.7792;0
376;134;175;1.5646;3.1292;0
377;135;94;1.9787;3.9574;0
378;135;136;0.627;1.254;0
379;135;174;1.437;2.874;0
380;135;176;1.2287;2.4574;0
381;136;135;0.627;1.254;0
382;136;96;1.2339;2.4678;0
383;136;95;1.5681;3.1362;0
384;136;97;1.5428;3.0856;0
385;136;175;1.1714;2.3428;0
386;136;176;0.9631;0.9631;1
387;136;177;1.1097;2.2194;0
388;137;97;0.7794;1.5588;0
389;137;98;1.2009;2.4018;0
390;137;177;0.8343;1.6686;0
391;140;100;0.9325;1.865;0
392;140;99;1.5305;3.061;0
393;140;101;1.3425;1.3425;1
394;140;141;0.6368;1.2736;0
395;140;180;0.8988;0.8988;1
396;141;140;0.6368;1.2736;0
397;141;101;1.2526;1.2526;1
398;141;100;1.1937;2.3874;0
399;141;102;2.0791;4.1582;0
400;141;180;1.1077;2.2154;0
401;142;101;1.5351;1.5351;1
402;142;143;1.0086;2.0172;0
403;142;183;1.5535;1.5535;1
404;143;102;1.2922;2.5844;0
405;143;104;1.3048;2.6096;0
406;143;144;1.1132;2.2264;0
407;143;183;1.197;2.394;0
408;143;184;1.6524;3.3048;0
409;144;143;1.1132;2.2264;0
410;144;104;0.5466;1.0932;0
411;144;103;1.4361;1.4361;1
412;145;105;1.0261;2.0522;0
413;145;104;0.7725;1.545;0
414;145;184;1.4316;2.8632;0
415;145;186;1.804;3.608;0
416;146;145;1.3423;2.6846;0
417;146;106;0.9573;1.9146;0
418;146;105;1.8865;3.773;0
419;146;107;0.7354;0.7354;1
420;146;147;0.7614;1.5228;0
421;146;186;1.4056;2.8112;0
422;147;107;0.9107;1.8214;0
423;147;186;1.4343;2.8686;0
424;147;187;1.0123;2.0246;0
425;148;147;0.7608;0.7608;1
426;148;108;1.4918;2.9836;0
427;148;109;1.7762;3.5524;0
428;148;187;1.1376;2.2752;0
429;149;148;1.4371;2.8742;0
430;149;109;1.0033;2.0066;0
431;149;110;1.4749;1.4749;1
432;149;150;0.9124;1.8248;0
433;149;189;0.9493;1.8986;0
434;149;190;1.2345;1.2345;1
435;150;149;0.9124;1.8248;0
436;150;110;0.8614;1.7228;0
437;150;109;1.2817;2.5634;0
438;150;189;1.3849;2.7698;0
439;150;190;0.9493;1.8986;0
440;151;150;0.9234;1.8468;0
441;151;110;1.0565;2.113;0
442;151;191;1.0016;1.0016;1
443;152;191;0.9145;1.829;0
444;152;193;1.2348;2.4696;0
445;153;152;1.2407;2.4814;0
446;153;112;1.6375;3.275;0
447;153;154;1.1997;2.3994;0
448;153;194;0.8675;1.735;0
449;154;115;0.9616;1.9232;0
450;154;155;0.8861;1.7722;0
451;154;193;1.6795;3.359;0
452;154;195;1.249;2.498;0
453;155;115;0.7489;1.4978;0
454;155;114;1.5826;3.1652;0
455;155;116;1.0511;2.1022;0
456;157;117;0.8039;1.6078;0
457;157;116;1.1435;2.287;0
458;157;118;1.6144;3.2288;0
459;157;197;1.1883;2.3766;0
460;157;198;1.5664;3.1328;0
461;158;199;1.5003;3.0006;0
462;159;119;1.2689;2.5378;0
463;159;118;1.4328;2.8656;0
464;160;120;1.1226;2.2452;0
465;160;161;0.9239;1.8478;0
466;160;200;1.2958;2.5916;0
467;161;120;1.4767;2.9534;0
468;161;162;0.7657;1.5314;0
469;162;201;1.6807;3.3614;0
470;163;124;1.0708;1.0708;1
471;163;164;0.8932;1.7864;0
472;163;203;1.1886;2.3772;0
473;163;204;1.6862;3.3724;0
474;164;125;1.4748;2.9496;0
475;164;203;1.7023;3.4046;0
476;164;204;1.4064;2.8128;0
477;165;125;1.2192;2.4384;0
478;165;205;0.9556;1.9112;0
479;165;206;1.4019;2.8038;0
480;166;165;0.7676;1.5352;0
481;166;126;0.8612;1.7224;0
482;166;125;1.1208;2.2416;0
483;166;127;1.944;3.888;0
484;166;167;1.3144;2.6288;0
485;167;166;1.3144;2.6288;0
486;167;127;1.4096;2.8192;0
487;167;168;1.1156;2.2312;0
488;167;207;1.0026;2.0052;0
489;168;127;1.3107;2.6214;0
490;168;207;1.6016;1.6016;1
491;169;168;1.1365;1.1365;1
492;169;129;0.9484;1.8968;0
493;169;130;1.3226;2.6452;0
494;169;208;1.2967;2.5934;0
495;169;210;1.3719;2.7438;0
496;170;169;0.9395;0.9395;1
497;170;130;0.7368;1.4736;0
498;170;171;1.1345;1.1345;1
499;170;210;1.3371;2.6742;0
500;170;211;1.649;3.298;0
501;171;170;1.1345;1.1345;1
502;171;131;1.2426;2.4852;0
503;171;130;1.4556;2.9112;0
504;171;132;1.5621;1.5621;1
505;171;172;1.0205;2.041;0
506;172;131;1.7213;3.4426;0
507;172;133;1.5838;3.1676;0
508;172;173;0.5056;1.0112;0
509;172;211;1.5063;3.0126;0
510;172;212;0.8152;1.6304;0
511;172;213;1.2033;2.4066;0
512;173;133;1.4502;2.9004;0
513;173;132;1.3641;2.7282;0
514;173;134;1.8896;3.7792;0
515;173;212;1.0407;2.0814;0
516;174;173;1.3471;2.6942;0
517;174;135;1.437;2.874;0
518;174;175;0.9747;0.9747;1
519;174;214;0.9592;1.9184;0
520;175;134;1.5646;3.1292;0
521;175;136;1.1714;2.3428;0
522;175;176;1.0141;2.0282;0
523;175;216;1.1085;1.1085;1
524;176;135;1.2287;2.4574;0
525;176;137;1.5815;3.163;0
526;176;217;1.1849;1.1849;1
527;177;137;0.8343;0.8343;1
528;177;136;1.1097;2.2194;0
529;177;217;1.0586;2.1172;0
530;177;218;1.7457;3.4914;0
531;178;219;1.4231;2.8462;0
532;179;178;1.189;2.378;0
533;180;179;0.9474;1.8948;0
534;180;140;0.8988;0.8988;1
535;180;141;1.1077;2.2154;0
536;180;220;1.0106;2.0212;0
537;180;221;1.835;3.67;0
538;181;180;0.826;1.652;0
539;181;142;1.9447;3.8894;0
540;181;182;1.115;2.23;0
541;181;221;1.124;2.248;0
542;181;222;1.6118;3.2236;0
543;182;141;1.4909;2.9818;0
544;182;143;1.8942;1.8942;1
545;182;222;1.1232;2.2464;0
546;182;223;1.3748;2.7496;0
547;183;144;1.4987;2.9974;0
548;183;184;1.0419;2.0838;0
549;183;222;1.8264;1.8264;1
550;183;223;1.3383;2.6766;0
551;184;183;1.0419;2.0838;0
552;184;144;1.1093;1.1093;1
553;184;143;1.6524;3.3048;0
554;184;145;1.4316;2.8632;0
555;184;225;1.1456;2.2912;0
556;185;184;0.9817;0.9817;1
557;185;145;1.5436;3.0872;0
558;185;146;1.8942;1.8942;1
559;185;186;0.9351;0.9351;1
560;185;226;1.5232;3.0464;0
561;186;185;0.9351;0.9351;1
562;186;145;1.804;3.608;0
563;186;187;1.1139;2.2278;0
564;186;225;1.1367;2.2734;0
565;186;226;1.1311;2.2622;0
566;187;186;1.1139;2.2278;0
567;187;146;1.5635;3.127;0
568;187;226;1.4943;2.9886;0
569;187;228;1.3146;2.6292;0
570;189;148;1.7002;1.7002;1
571;189;150;1.3849;2.7698;0
572;189;228;1.4818;2.9636;0
573;189;229;1.0065;1.0065;1
574;190;191;1.1507;2.3014;0
575;190;229;1.4148;2.8296;0
576;191;190;1.1507;2.3014;0
577;191;151;1.0016;2.0032;0
578;191;192;0.8816;0.8816;1
579;191;231;1.3283;2.6566;0
580;192;191;0.8816;1.7632;0
581;192;152;0.9055;1.811;0
582;192;151;1.6321;3.2642;0
583;192;193;0.8568;0.8568;1
584;192;231;1.3743;2.7486;0
585;192;232;0.6554;1.3108;0
586;193;154;1.6795;3.359;0
587;193;194;0.9608;0.9608;1
588;193;232;1.2298;2.4596;0
589;193;233;1.1113;2.2226;0
590;193;234;1.6;3.2;0
591;194;193;0.9608;1.9216;0
592;194;154;0.9279;1.8558;0
593;194;153;0.8675;0.8675;1
594;194;155;1.6209;3.2418;0
595;194;235;1.5886;3.1772;0
596;195;194;1.3531;2.7062;0
597;195;155;0.9815;1.963;0
598;195;196;0.8626;1.7252;0
599;195;234;1.8209;3.6418;0
600;196;195;0.8626;1.7252;0
601;196;235;1.5207;3.0414;0
602;196;236;1.0015;2.003;0
603;197;196;0.9423;1.8846;0
604;197;157;1.1883;2.3766;0
605;197;158;1.3374;2.6748;0
606;197;198;1.0097;2.0194;0
607;197;236;1.28;2.56;0
608;197;238;1.4952;2.9904;0
609;198;197;1.0097;2.0194;0
610;198;159;1.2063;2.4126;0
611;198;237;1.2856;2.5712;0
612;199;159;0.6485;1.297;0
613;199;238;1.4405;2.881;0
614;200;160;1.2958;2.5916;0
615;200;201;0.9978;1.9956;0
616;200;240;0.796;1.592;0
617;201;161;1.2814;2.5628;0
618;201;160;1.5821;3.1642;0
619;201;162;1.6807;3.3614;0
620;201;240;1.0475;2.095;0
621;203;163;1.1886;2.3772;0
622;203;164;1.7023;3.4046;0
623;203;243;1.2006;2.4012;0
624;203;244;1.6936;3.3872;0
625;204;203;1.3454;2.6908;0
626;204;165;1.3055;2.611;0
627;204;244;0.6726;1.3452;0
628;204;245;1.2342;2.4684;0
629;205;204;0.9467;1.8934;0
630;205;206;1.151;2.302;0
631;205;244;1.0509;2.1018;0
632;206;205;1.151;2.302;0
633;206;166;1.0284;2.0568;0
634;207;206;1.0867;2.1734;0
635;207;167;1.0026;2.0052;0
636;207;168;1.6016;1.6016;1
637;207;208;1.0804;2.1608;0
638;207;248;1.082;1.082;1
639;208;207;1.0804;2.1608;0
640;208;167;1.2327;2.4654;0
641;208;247;1.7261;3.4522;0
642;208;249;1.4818;2.9636;0
643;210;169;1.3719;2.7438;0
644;210;211;1.2822;2.5644;0
645;210;249;0.8253;1.6506;0
646;210;251;1.394;2.788;0
647;211;171;0.9759;1.9518;0
648;211;170;1.649;3.298;0
649;211;250;1.2736;2.5472;0
650;212;173;1.0407;2.0814;0
651;212;251;1.5484;3.0968;0
652;213;172;1.2033;2.4066;0
653;213;174;1.3635;2.727;0
654;213;214;0.5571;1.1142;0
655;213;252;1.7749;3.5498;0
656;213;253;1.1613;2.3226;0
657;213;254;1.4605;2.921;0
658;214;213;0.5571;1.1142;0
659;214;174;0.9592;1.9184;0
660;214;173;1.141;2.282;0
661;214;254;1.2431;2.4862;0
662;214;255;1.6912;3.3824;0
663;215;174;1.3999;2.7998;0
664;215;255;1.2088;2.4176;0
665;216;215;0.661;1.322;0
666;216;175;1.1085;2.217;0
667;216;217;1.2028;2.4056;0
668;216;255;1.5276;3.0552;0
669;216;257;1.7863;3.5726;0
670;217;178;0.9722;1.9444;0
671;218;217;0.8589;1.7178;0
672;218;177;1.7457;1.7457;1
673;218;179;1.6055;3.211;0
674;218;257;1.1761;2.3522;0
675;218;258;1.0506;2.1012;0
676;219;218;1.4679;2.9358;0
677;219;178;1.4231;2.8462;0
678;219;180;1.0928;2.1856;0
679;219;220;0.9946;1.9892;0
680;219;258;2.0499;4.0998;0
681;219;259;1.2;2.4;0
682;220;180;1.0106;2.0212;0
683;220;179;1.3254;2.6508;0
684;220;181;0.9232;1.8464;0
685;220;221;1.1803;2.3606;0
686;220;259;1.6807;3.3614;0
687;220;260;1.3459;2.6918;0
688;221;220;1.1803;2.3606;0
689;221;181;1.124;2.248;0
690;221;182;1.1354;1.1354;1
691;221;222;0.6266;1.2532;0
692;221;261;0.8517;1.7034;0
693;222;181;1.6118;3.2236;0
694;222;183;1.8264;1.8264;1
695;222;223;0.8246;1.6492;0
696;222;261;0.9859;1.9718;0
697;222;263;1.1393;2.2786;0
698;223;222;0.8246;1.6492;0
699;223;182;1.3748;2.7496;0
700;225;185;0.4442;0.8884;0
701;225;186;1.1367;2.2734;0
702;225;265;1.0434;2.0868;0
703;226;225;1.3391;2.6782;0
704;226;186;1.1311;2.2622;0
705;226;187;1.4943;2.9886;0
706;226;266;0.7907;1.5814;0
707;227;187;0.8895;0.8895;1
708;227;268;1.5754;3.1508;0
709;228;227;1.3159;1.3159;1
710;228;189;1.4818;2.9636;0
711;228;268;1.2049;2.4098;0
712;228;269;1.5688;3.1376;0
713;229;228;1.1317;1.1317;1
714;229;189;1.0065;1.0065;1
715;229;190;1.4148;2.8296;0
716;229;268;1.8647;1.8647;1
717;231;191;1.3283;1.3283;1
718;231;232;0.9013;0.9013;1
719;231;270;1.3644;1.3644;1
720;231;271;0.5858;1.1716;0
721;232;231;0.9013;0.9013;1
722;232;191;1.1984;2.3968;0
723;232;271;1.2856;2.5712;0
724;232;272;1.2381;1.2381;1
725;232;273;1.4302;2.8604;0
726;233;194;1.4416;2.8832;0
727;233;272;1.4103;2.8206;0
728;234;233;0.8633;1.7266;0
729;234;193;1.6;3.2;0
730;234;235;1.0438;2.0876;0
731;234;274;0.7988;1.5976;0
732;235;234;1.0438;2.0876;0
733;235;196;1.5207;3.0414;0
734;235;236;0.8582;1.7164;0
735;235;276;1.2021;2.4042;0
736;236;235;0.8582;1.7164;0
737;236;195;1.1965;2.393;0
738;236;197;1.28;2.56;0
739;236;277;1.6285;3.257;0
740;237;236;1.3308;2.6616;0
741;237;196;1.6738;3.3476;0
742;237;198;1.2856;2.5712;0
743;237;276;1.6598;3.3196;0
744;237;277;0.768;1.536;0
745;238;198;1.0132;2.0264;0
746;238;197;1.4952;2.9904;0
747;238;199;1.4405;2.881;0
748;238;278;1.1423;2.2846;0
749;239;198;1.5598;3.1196;0
750;239;278;1.7514;3.5028;0
751;240;200;0.796;1.592;0
752;241;240;1.1183;2.2366;0
753;241;201;1.0119;2.0238;0
754;241;242;0.8155;1.631;0
755;241;281;0.8825;1.765;0
756;242;241;0.8155;1.631;0
757;242;201;1.2441;2.4882;0
758;242;203;1.3313;2.6626;0
759;242;243;1.1648;2.3296;0
760;243;242;1.1648;2.3296;0
761;243;203;1.2006;2.4012;0
762;243;284;1.234;2.468;0
763;244;203;1.6936;3.3872;0
764;244;205;1.0509;2.1018;0
765;244;245;0.7393;1.4786;0
766;245;244;0.7393;1.4786;0
767;245;205;0.9308;1.8616;0
768;245;204;1.2342;2.4684;0
769;245;206;1.6919;3.3838;0
770;247;206;0.9974;1.9948;0
771;247;208;1.7261;3.4522;0
772;247;287;1.3688;2.7376;0
773;248;247;1.1943;2.3886;0
774;248;208;1.3274;2.6548;0
775;248;288;0.8003;1.6006;0
776;248;289;1.6795;3.359;0
777;249;250;0.7034;1.4068;0
778;249;288;1.4617;2.9234;0
779;249;290;1.4116;2.8232;0
780;250;211;1.2736;2.5472;0
781;250;289;1.5;3.0;0
782;250;290;1.3263;2.6526;0
783;251;212;1.5484;3.0968;0
784;251;252;1.0128;2.0256;0
785;251;291;0.8589;1.7178;0
