;nodeI;nodeJ;distance;danger;amenagement
318;148;149;0.9257;1.8514;0
319;148;187;1.3748;2.7496;0
320;149;148;0.9257;1.8514;0
321;149;108;1.3967;2.7934;0
322;149;110;1.3609;2.7218;0
323;149;189;0.7705;0.7705;1
324;151;111;0.9305;1.861;0
325;151;110;1.5349;1.5349;1
326;151;112;1.5219;3.0438;0
327;151;152;0.9393;1.8786;0
328;151;192;1.4903;1.4903;1
329;152;151;0.9393;1.8786;0
330;152;112;1.485;2.97;0
331;152;111;1.5518;3.1036;0
332;152;153;0.7759;1.5518;0
333;152;192;0.9712;1.9424;0
334;153;152;0.7759;1.5518;0
335;155;156;1.3603;2.7206;0
336;155;195;0.9649;1.9298;0
337;155;196;1.3239;2.6478;0
338;156;155;1.3603;2.7206;0
339;156;195;1.4062;2.8124;0
340;156;196;0.7146;1.4292;0
341;157;117;0.8667;0.8667;1
342;157;198;0.8835;1.767;0
343;158;117;1.7247;3.4494;0
344;159;119;0.9713;1.9426;0
345;160;120;1.1516;2.3032;0
346;160;201;1.3884;2.7768;0
347;162;122;0.8791;0.8791;1
348;162;202;0.9796;0.9796;1
349;162;203;1.4655;1.4655;1
350;163;162;1.4428;2.8856;0
351;163;122;1.3351;2.6702;0
352;164;204;1.3563;2.7126;0
353;164;205;1.5488;3.0976;0
354;165;125;1.2413;1.2413;1
355;165;205;0.7576;1.5152;0
356;166;165;0.9157;1.8314;0
357;166;126;0.9096;1.8192;0
358;166;127;1.299;1.299;1
359;166;205;1.3834;2.7668;0
360;166;207;1.3272;2.6544;0
361;168;128;1.196;2.392;0
362;168;127;1.2815;2.563;0
363;168;169;1.0018;2.0036;0
364;169;168;1.0018;2.0036;0
365;169;128;1.4181;2.8362;0
366;169;208;1.0267;2.0534;0
367;171;132;1.3543;2.7086;0
368;171;212;1.6534;1.6534;1
369;172;131;1.6298;3.2596;0
370;172;173;0.9431;0.9431;1
371;173;172;0.9431;0.9431;1
372;173;134;1.2851;1.2851;1
373;173;214;1.253;2.506;0
374;174;175;1.212;2.424;0
375;174;213;1.2702;2.5404;0
376;175;174;1.212;2.424;0
377;175;136;1.4086;2.8172;0
378;175;216;1.1116;2.2232;0
379;176;137;0.8541;1.7082;0
380;176;215;1.9769;3.9538;0
381;176;217;1.432;2.864;0
382;177;217;1.1343;2.2686;0
383;178;138;0.9538;1.9076;0
384;179;178;0.8558;1.7116;0
385;179;219;0.9897;1.9794;0
386;182;141;1.6904;3.3808;0
387;182;223;1.285;2.57;0
388;183;143;1.1716;2.3432;0
389;183;144;1.7077;3.4154;0
390;183;223;0.7131;1.4262;0
391;184;183;0.753;1.506;0
392;184;145;1.5906;3.1812;0
393;184;223;1.0115;2.023;0
394;184;225;1.5365;3.073;0
395;186;147;1.8928;3.7856;0
396;186;187;0.9537;1.9074;0
397;186;225;1.3068;2.6136;0
398;186;226;0.851;1.702;0
399;187;186;0.9537;1.9074;0
400;187;147;1.1053;1.1053;1
401;187;146;1.5078;1.5078;1
402;187;148;1.3748;2.7496;0
403;187;228;1.5556;3.1112;0
404;189;149;0.7705;1.541;0
405;189;228;1.0456;1.0456;1
406;189;229;1.4368;2.8736;0
407;190;230;0.8923;1.7846;0
408;192;152;0.9712;1.9424;0
409;192;151;1.4903;1.4903;1
410;192;231;1.3063;2.6126;0
411;192;232;1.0663;2.1326;0
412;194;153;1.5274;3.0548;0
413;194;195;0.9666;1.9332;0
414;194;233;1.8629;3.7258;0
415;195;194;0.9666;1.9332;0
416;195;155;0.9649;1.9298;0
417;195;156;1.4062;2.8124;0
418;195;196;0.8747;1.7494;0
419;195;234;1.3315;2.663;0
420;196;195;0.8747;1.7494;0
421;196;156;0.7146;1.4292;0
422;196;157;1.5697;1.5697;1
423;196;236;1.5471;1.5471;1
424;197;157;0.7468;1.4936;0
425;197;238;1.4006;2.8012;0
426;198;157;0.8835;1.767;0
427;198;158;1.7247;3.4494;0
428;198;159;1.7247;3.4494;0
429;198;199;1.7247;3.4494;0
430;199;158;1.6372;3.2744;0
431;200;160;1.2426;2.4852;0
432;200;201;0.7305;1.461;0
433;201;200;0.7305;1.461;0
434;201;160;1.3884;2.7768;0
435;201;242;1.6668;3.3336;0
436;202;201;1.3675;2.735;0
437;202;203;0.5634;1.1268;0
438;202;242;1.1596;1.1596;1
439;203;202;0.5634;1.1268;0
440;203;163;1.3559;2.7118;0
441;203;162;1.4655;2.931;0
442;203;242;1.1058;2.2116;0
443;204;244;0.7688;1.5376;0
444;204;245;1.16;2.32;0
445;205;165;0.7576;1.5152;0
446;205;164;1.5488;3.0976;0
447;205;244;1.3107;2.6214;0
448;206;247;1.2142;2.4284;0
449;207;166;1.3272;2.6544;0
450;207;246;1.5381;3.0762;0
451;207;247;1.3197;2.6394;0
452;208;168;0.8301;1.6602;0
453;208;169;1.0267;2.0534;0
454;208;209;0.8029;1.6058;0
455;208;248;1.0377;2.0754;0
456;209;210;0.9757;0.9757;1
457;209;249;0.9955;0.9955;1
458;209;250;1.6697;1.6697;1
459;210;209;0.9757;0.9757;1
460;210;250;1.3012;1.3012;1
461;211;172;1.5935;1.5935;1
462;211;212;1.1318;1.1318;1
463;211;250;1.408;1.408;1
464;212;211;1.1318;1.1318;1
465;212;171;1.6534;1.6534;1
466;212;252;1.5736;1.5736;1
467;212;253;1.6321;1.6321;1
468;213;174;1.2702;2.5404;0
469;213;214;1.186;2.372;0
470;213;252;1.847;1.847;1
471;213;253;1.3121;2.6242;0
472;214;213;1.186;2.372;0
473;214;173;1.253;2.506;0
474;214;215;0.8344;1.6688;0
475;215;214;0.8344;1.6688;0
476;215;176;1.9769;3.9538;0
477;215;255;0.8352;1.6704;0
478;215;256;1.5805;3.161;0
479;216;215;1.1655;2.331;0
480;216;217;1.1014;2.2028;0
481;217;177;1.1343;2.2686;0
482;217;258;1.4679;2.9358;0
483;219;258;1.7168;1.7168;1
484;219;259;1.1927;2.3854;0
485;220;219;1.237;2.474;0
486;221;262;1.5164;3.0328;0
487;221;220;1.7247;3.4494;0
488;222;221;1.7247;3.4494;0
489;223;183;0.7131;1.4262;0
490;223;184;1.0115;2.023;0
491;223;262;1.8541;3.7082;0
492;223;264;1.1692;2.3384;0
493;225;184;1.5365;3.073;0
494;225;186;1.3068;2.6136;0
495;225;265;0.6508;1.3016;0
496;226;186;0.851;1.702;0
497;226;265;1.0832;2.1664;0
498;226;267;1.329;2.658;0
499;228;187;1.5556;3.1112;0
500;228;189;1.0456;2.0912;0
501;228;268;0.993;0.993;1
502;229;189;1.4368;2.8736;0
503;229;230;0.8962;1.7924;0
504;229;268;1.2229;2.4458;0
505;230;229;0.8962;1.7924;0
506;230;190;0.8923;1.7846;0
507;230;271;1.5355;3.071;0
508;231;192;1.3063;2.6126;0
509;231;232;1.0168;2.0336;0
510;231;271;1.0146;2.0292;0
511;232;231;1.0168;2.0336;0
512;232;192;1.0663;2.1326;0
513;232;233;0.513;1.026;0
514;232;273;0.9583;1.9166;0
515;233;232;0.513;1.026;0
516;234;235;0.6107;1.2214;0
517;234;275;1.4774;2.9548;0
518;235;234;0.6107;1.2214;0
519;235;195;1.478;2.956;0
520;235;194;1.6072;3.2144;0
521;235;236;1.2047;2.4094;0
522;235;274;1.2406;2.4812;0
523;235;275;1.0376;2.0752;0
524;235;276;1.3307;2.6614;0
525;236;235;1.2047;2.4094;0
526;236;196;1.5471;1.5471;1
527;236;237;0.7569;1.5138;0
528;236;277;0.8892;0.8892;1
529;237;196;1.7065;3.413;0
530;237;238;1.0492;2.0984;0
531;238;198;1.2374;2.4748;0
532;238;197;1.4006;2.8012;0
533;238;277;1.3308;2.6616;0
534;239;198;1.8243;3.6486;0
535;239;278;1.4125;2.825;0
536;242;202;1.1596;2.3192;0
537;242;201;1.6668;3.3336;0
538;242;282;0.7124;0.7124;1
539;244;205;1.3107;2.6214;0
540;244;283;1.7058;3.4116;0
541;245;204;1.7247;3.4494;0
542;246;285;1.6992;3.3984;0
543;247;246;0.6377;1.2754;0
544;247;207;1.3197;2.6394;0
545;247;206;1.2142;2.4284;0
546;248;208;1.0377;2.0754;0
547;248;209;0.9732;1.9464;0
548;248;249;0.7141;1.4282;0
549;248;287;1.8531;3.7062;0
550;249;248;0.7141;1.4282;0
551;249;290;1.1474;1.1474;1
552;250;210;1.3012;1.3012;1
553;250;209;1.6697;1.6697;1
554;250;211;1.408;1.408;1
555;251;211;0.8334;1.6668;0
556;251;210;1.506;3.012;0
557;251;290;1.2862;2.5724;0
558;251;291;1.0843;2.1686;0
559;252;251;0.8755;1.751;0
560;252;212;1.5736;1.5736;1
561;252;213;1.847;1.847;1
562;252;291;1.0878;2.1756;0
563;253;213;1.3121;2.6242;0
564;253;254;1.1408;1.1408;1
565;253;294;1.0864;2.1728;0
566;254;253;1.1408;1.1408;1
567;254;213;1.5584;3.1168;0
568;254;255;0.9584;1.9168;0
569;254;295;1.7832;1.7832;1
570;254;293;1.7247;3.4494;0
571;255;254;0.9584;1.9168;0
572;255;215;0.8352;1.6704;0
573;255;256;1.1767;2.3534;0
574;255;294;1.5428;3.0856;0
575;255;295;1.4659;2.9318;0
576;255;296;1.7205;3.441;0
577;256;255;1.1767;2.3534;0
578;256;215;1.5805;3.161;0
579;256;295;1.8753;3.7506;0
580;258;219;1.7168;1.7168;1
581;258;259;1.1919;2.3838;0
582;258;298;0.6366;1.2732;0
583;258;299;1.4939;1.4939;1
584;259;258;1.1919;2.3838;0
585;259;298;1.0807;2.1614;0
586;259;300;1.5287;3.0574;0
587;262;222;1.0666;2.1332;0
588;262;221;1.5164;3.0328;0
589;262;223;1.8541;3.7082;0
590;262;303;1.2877;2.5754;0
591;264;223;1.1692;2.3384;0
592;264;265;1.4264;2.8528;0
593;264;304;1.1348;2.2696;0
594;264;305;1.2816;2.5632;0
595;265;225;0.6508;1.3016;0
596;265;226;1.0832;2.1664;0
597;265;304;1.8347;3.6694;0
598;265;306;1.4182;2.8364;0
599;266;267;0.7122;1.4244;0
600;266;307;1.0261;2.0522;0
601;267;266;0.7122;1.4244;0
602;267;226;1.329;2.658;0
603;267;307;0.6327;1.2654;0
604;267;308;1.5708;1.5708;1
605;268;228;0.993;1.986;0
606;268;229;1.2229;2.4458;0
607;268;308;1.2705;1.2705;1
608;270;230;1.2008;2.4016;0
609;270;309;1.2663;2.5326;0
610;270;311;1.214;2.428;0
611;271;231;1.0146;2.0292;0
612;271;230;1.5355;3.071;0
613;271;232;1.475;2.95;0
614;271;311;0.7821;1.5642;0
615;271;312;1.5865;3.173;0
616;272;271;1.2581;2.5162;0
617;272;232;1.0106;2.0212;0
618;272;311;1.4518;2.9036;0
619;272;312;0.9689;1.9378;0
620;272;313;1.1084;2.2168;0
621;273;232;0.9583;1.9166;0
622;273;313;0.9744;1.9488;0
623;274;235;1.2406;2.4812;0
624;275;235;1.0376;2.0752;0
625;275;234;1.4774;2.9548;0
626;275;236;1.4461;1.4461;1
627;275;276;0.9238;1.8476;0
628;275;316;1.1654;2.3308;0
629;276;275;0.9238;1.8476;0
630;276;235;1.3307;2.6614;0
631;276;237;1.2993;2.5986;0
632;276;316;0.8525;1.705;0
633;277;236;0.8892;0.8892;1
634;277;238;1.3308;2.6616;0
635;277;316;1.4111;2.8222;0
636;277;318;2.0996;2.0996;1
637;278;239;1.4125;2.825;0
638;278;279;0.8358;1.6716;0
639;278;318;0.9821;1.9642;0
640;278;319;1.2489;2.4978;0
641;279;278;0.8358;1.6716;0
642;282;242;0.7124;1.4248;0
643;283;322;1.228;2.456;0
644;283;324;1.7512;3.5024;0
645;284;285;0.9536;1.9072;0
646;284;325;1.6639;3.3278;0
647;285;284;0.9536;1.9072;0
648;285;246;1.6992;3.3984;0
649;285;324;1.2474;2.4948;0
650;287;246;1.7247;3.4494;0
651;290;249;1.1474;1.1474;1
652;290;251;1.2862;2.5724;0
653;290;291;1.3554;2.7108;0
654;290;329;1.6921;3.3842;0
655;290;331;2.0995;2.0995;1
656;291;251;1.0843;2.1686;0
657;291;331;1.0917;2.1834;0
658;293;333;1.2615;2.523;0
659;294;253;1.0864;2.1728;0
660;294;255;1.5428;3.0856;0
661;294;295;1.4019;2.8038;0
662;294;334;1.4119;2.8238;0
663;294;335;1.83;3.66;0
664;295;294;1.4019;2.8038;0
665;295;254;1.7832;1.7832;1
666;295;256;1.8753;3.7506;0
667;295;296;1.0583;2.1166;0
668;296;295;1.0583;2.1166;0
669;296;255;1.7205;3.441;0
670;296;335;1.1761;2.3522;0
671;297;336;1.899;3.798;0
672;298;258;0.6366;1.2732;0
673;298;259;1.0807;2.1614;0
674;298;299;1.1567;2.3134;0
675;299;298;1.1567;2.3134;0
676;299;258;1.4939;1.4939;1
677;299;300;1.0675;2.135;0
678;299;338;1.8011;1.8011;1
679;299;339;1.5571;3.1142;0
680;300;299;1.0675;2.135;0
681;300;259;1.5287;3.0574;0
682;302;303;0.7753;1.5506;0
683;302;342;0.597;1.194;0
684;302;343;1.2001;2.4002;0
685;303;302;0.7753;1.5506;0
686;303;262;1.2877;2.5754;0
687;303;304;1.0667;2.1334;0
688;303;342;1.1967;2.3934;0
689;304;303;1.0667;2.1334;0
690;304;264;1.1348;2.2696;0
691;304;265;1.8347;3.6694;0
692;304;305;0.9558;1.9116;0
693;305;304;0.9558;1.9116;0
694;305;264;1.2816;2.5632;0
695;305;345;1.1618;2.3236;0
696;305;346;1.7675;3.535;0
697;306;265;1.4182;2.8364;0
698;306;345;1.0217;2.0434;0
699;307;267;0.6327;1.2654;0
700;307;266;1.0261;2.0522;0
701;307;308;1.1119;2.2238;0
702;307;346;1.5584;3.1168;0
703;307;347;1.6038;3.2076;0
704;308;307;1.1119;2.2238;0
705;308;268;1.2705;2.541;0
706;308;267;1.5708;1.5708;1
707;308;309;0.9173;1.8346;0
708;308;347;1.9403;3.8806;0
709;308;348;0.8224;0.8224;1
710;309;308;0.9173;1.8346;0
711;309;270;1.2663;2.5326;0
712;309;310;0.808;1.616;0
713;309;348;1.2763;2.5526;0
714;309;350;1.4002;2.8004;0
715;310;309;0.808;1.616;0
716;310;311;1.0955;2.191;0
717;310;350;0.9732;1.9464;0
718;311;310;1.0955;2.191;0
719;311;271;0.7821;1.5642;0
720;311;270;1.214;2.428;0
721;312;272;0.9689;1.9378;0
722;312;271;1.5865;3.173;0
723;313;312;1.0933;2.1866;0
724;313;273;0.9744;1.9488;0
725;313;353;1.2537;2.5074;0
726;313;354;1.3989;2.7978;0
727;316;276;0.8525;1.705;0
728;316;275;1.1654;2.3308;0
729;316;277;1.4111;2.8222;0
730;316;317;1.0571;2.1142;0
731;317;276;1.7247;3.4494;0
732;318;319;0.8829;1.7658;0
733;318;359;0.9539;0.9539;1
734;319;318;0.8829;1.7658;0
735;319;278;1.2489;2.4978;0
736;322;282;1.4852;2.9704;0
737;322;283;1.228;2.456;0
738;324;283;1.7512;3.5024;0
739;324;285;1.2474;2.4948;0
740;324;325;0.937;1.874;0
741;325;324;0.937;1.874;0
742;325;284;1.6639;3.3278;0
743;325;326;0.7066;1.4132;0
744;325;366;1.5653;3.1306;0
745;326;325;0.7066;1.4132;0
746;326;287;1.6981;3.3962;0
747;326;366;1.0609;2.1218;0
748;326;367;1.6334;3.2668;0
749;328;287;1.2153;2.4306;0
750;328;329;1.1515;2.303;0
751;328;367;0.7012;1.4024;0
752;328;368;0.8494;1.6988;0
753;329;328;1.1515;2.303;0
754;329;290;1.6921;3.3842;0
755;329;330;1.3594;2.7188;0
756;329;369;0.9054;1.8108;0
757;330;329;1.3594;2.7188;0
758;330;331;1.0886;2.1772;0
759;330;371;1.0992;2.1984;0
760;331;330;1.0886;2.1772;0
761;331;291;1.0917;2.1834;0
762;331;290;2.0995;2.0995;1
763;333;293;1.7247;3.4494;0
764;333;294;1.7247;3.4494;0
765;334;294;1.4119;2.8238;0
766;335;334;1.1755;2.351;0
767;335;336;0.8801;1.7602;0
768;335;375;1.458;2.916;0
769;336;335;0.8801;1.7602;0
770;338;378;1.2862;1.2862;1
771;338;297;1.7247;3.4494;0
772;339;299;1.5571;3.1142;0
773;339;379;0.7351;1.4702;0
774;339;380;1.0286;2.0572;0
775;342;303;1.1967;2.3934;0
776;342;382;1.4863;2.9726;0
777;343;303;0.9345;1.869;0
778;343;383;1.1972;2.3944;0
779;344;345;1.405;2.81;0
780;344;384;1.0445;2.089;0
781;345;344;1.405;2.81;0
782;345;305;1.1618;2.3236;0
783;345;306;1.0217;2.0434;0
784;345;386;1.3612;2.7224;0
785;346;305;1.7675;3.535;0
786;346;307;1.5584;3.1168;0
